latitude,longitude,elevation,slope,clay_percentage,aspect,aspect_sin,aspect_cos,clay_percent,sand_percent,silt_percent,bulk_density,shear_stress_factor
25.53,93.09,140.0,6.1,26.7,270.0,-1.0,-0.0,26.7,35.0,28.0,1.081,0.1119
25.53,93.1,179.0,4.9,26.9,180.0,0.0,-1.0,26.9,36.3,27.7,1.071,0.09
25.53,93.11,162.0,7.4,26.9,180.0,0.0,-1.0,26.9,36.3,27.7,1.071,0.1357
25.53,93.12,221.0,7.4,26.9,180.0,0.0,-1.0,26.9,36.3,27.7,1.071,0.1357
25.53,93.13,277.0,8.1,26.9,90.0,1.0,0.0,26.9,36.3,27.7,1.071,0.1485
25.53,93.14,267.0,5.2,26.9,132.1,0.742,-0.6704,26.9,36.3,27.7,1.072,0.0955
25.53,93.15,292.0,4.3,26.9,270.0,-1.0,-0.0,26.9,36.3,27.7,1.072,0.079
25.53,93.16,282.0,3.5,26.9,132.1,0.742,-0.6704,26.9,36.3,27.7,1.072,0.0643
25.53,93.17,256.0,7.3,26.9,90.0,1.0,0.0,26.9,36.3,27.7,1.072,0.1339
25.53,93.18,273.0,4.3,26.9,90.0,1.0,0.0,26.9,36.3,27.7,1.072,0.079
25.53,93.19,302.0,3.6,26.9,180.0,0.0,-1.0,26.9,36.3,27.7,1.072,0.0662
25.53,93.2,309.0,3.5,26.9,312.1,-0.742,0.6704,26.9,36.3,27.7,1.072,0.0643
25.53,93.21,301.0,3.6,26.9,180.0,0.0,-1.0,26.9,36.3,27.7,1.072,0.0662
25.53,93.22,330.0,4.9,26.9,270.0,-1.0,-0.0,26.9,36.3,27.7,1.072,0.09
25.53,93.23,331.0,3.7,26.9,227.9,-0.742,-0.6704,26.9,36.3,27.7,1.072,0.068
25.53,93.24,306.0,8.8,26.9,180.0,0.0,-1.0,26.9,36.3,27.7,1.072,0.1612
25.53,93.25,377.0,13.2,26.9,227.9,-0.742,-0.6704,26.9,36.3,27.7,1.072,0.2406
25.53,93.26,396.0,15.6,26.9,270.0,-1.0,-0.0,26.9,36.3,27.7,1.072,0.2834
25.53,93.27,520.0,17.7,26.9,270.0,-1.0,-0.0,26.9,36.3,27.7,1.073,0.3204
25.53,93.28,515.0,12.9,26.9,227.9,-0.742,-0.6704,26.9,36.3,27.7,1.073,0.2353
25.53,93.29,451.0,11.6,26.9,90.0,1.0,0.0,26.9,36.3,27.7,1.073,0.2119
25.54,92.62,735.0,3.5,25.5,312.1,-0.742,0.6704,25.5,38.4,25.9,1.077,0.0642
25.54,92.63,738.0,3.9,25.2,270.0,-1.0,-0.0,25.2,38.2,26.0,1.082,0.0714
25.54,92.64,723.0,3.5,25.4,0.0,0.0,1.0,25.4,37.6,26.4,1.083,0.0641
25.54,92.65,727.0,3.6,25.8,227.9,-0.742,-0.6704,25.8,37.7,26.3,1.078,0.066
25.54,92.66,733.0,4.6,25.8,270.0,-1.0,-0.0,25.8,37.7,26.3,1.078,0.0843
